03 01 0.389
03 02 0.465
03 03 0.583
03 04 0.792
03 05 1.290
03 06 2.255
03 07 3.036
03 08 5.186
03 09 8.996
03 10 12.310
03 11 13.580
03 12 16.770
03 13 20.230
03 14 32.297
03 15 29.449
03 16 75.072
03 17 72.359
03 18 103.415
03 19 111.323
03 20 141.169
03 21 171.935
03 22 224.756
03 23 212.123
03 24 185.432
03 25 305.193
03 26 231.837
03 27 307.754
03 28 227.304
03 29 313.200
03 30 290.512
03 31 305.554
03 32 327.061
03 33 538.550
03 34 386.570
03 35 458.168
03 36 549.858
03 37 497.729
03 38 515.040
03 39 684.055
03 40 898.335
03 41 919.669
03 42 738.484
03 43 1095.403
03 44 890.506
03 45 1166.549
03 46 1347.938
03 47 1164.817
03 48 1352.616
03 49 1095.268
03 50 1243.475
03 51 1463.589
03 52 1180.114
03 53 1704.726
03 54 1488.909
03 55 1736.586
03 56 1725.986
03 57 1759.985
03 58 1800.015
03 59 1800.013
