08 01 1.621
08 02 7.694
08 03 1.745 cexp
08 04 3.937 cexp
08 05 2.626 cexp
08 06 4.793 cexp
08 07 5.417 cexp
08 08 5.190 cexp
08 09 6.800 cexp
08 10 23.860 cexp
