06 01 1.076
06 02 2.059
06 03 1.152 cexp
06 04 2.806 cexp
06 05 1.959 cexp
06 06 4.773 cexp
06 07 2.997 cexp
06 08 10.862 cexp
06 09 5.190 cexp
06 10 12.029 cexp
