10 01 3.552
10 02 17.451
10 03 2.556 cexp
10 04 4.949 cexp
10 05 4.099 cexp
10 06 6.486 cexp
10 07 9.831 cexp
10 08 10.990 cexp
10 09 16.065 cexp
10 10 52.783 cexp
