04 02 19.198
04 03 55.567
04 04 66.226 cexp
04 05 96.798 cexp
04 06 128.484 cexp
04 07 179.118 cexp
04 08 317.469 cexp
04 09 443.686 cexp
04 10 519.882 cexp
