03 02 6.354
03 03 11.988
03 04 31.534 cexp
03 05 43.219 cexp
03 06 80.870 cexp
03 07 99.318 cexp
03 08 139.927 cexp
03 09 232.925 cexp
03 10 374.848 cexp
