04 01 0.457
04 02 0.708
04 03 0.755 cexp
04 04 0.883 cexp
04 05 0.948 cexp
04 06 1.201 cexp
04 07 1.206 cexp
04 08 2.297 cexp
04 09 1.746 cexp
04 10 2.344 cexp
