03 01 0.424
03 02 0.486
03 03 0.567 cexp
03 04 1.142
03 05 0.725 cexp
03 06 0.808 cexp
03 07 0.912 cexp
03 08 1.111 cexp
03 09 1.239 cexp
03 10 1.352 cexp
