07 01 1.518
07 02 4.004
07 03 1.617 cexp
07 04 1.673 cexp
07 05 2.423 cexp
07 06 4.791 cexp
07 07 3.248 cexp
07 08 6.741 cexp
07 09 4.209 cexp
07 10 17.429 cexp
