06 01 1.160
06 02 2.273
06 03 1.192 cexp
06 04 1.372 cexp
06 05 1.840 cexp
06 06 2.461 cexp
06 07 2.605 cexp
06 08 3.440 cexp
06 09 3.981 cexp
06 10 7.054 cexp
