05 01 0.957
05 02 5.153
05 03 1.822 cexp
05 04 3.572 cexp
05 05 2.882 cexp
05 06 5.303 cexp
05 07 4.141 cexp
05 08 6.243 cexp
05 09 4.827 cexp
05 10 7.590 cexp
