04 01 0.654
04 02 1.240
04 03 1.140 cexp
04 04 3.157 cexp
04 05 1.865 cexp
04 06 2.407 cexp
04 07 2.293 cexp
04 08 5.021 cexp
04 09 2.863 cexp
04 10 3.609 cexp
