10 01 8.643
10 02 40.909
10 03 8.501 cexp
10 04 38.692 cexp
10 05 12.153 cexp
10 06 101.414 cexp
10 07 27.740 cexp
10 08 306.088 cexp
10 09 43.586 cexp
10 10 81.476 cexp
